全面详解电源电路，开关电源没你想的那么简单, , 2019-10-19 11:00, , 1, analog-power, 模拟/电源, /analog-power/, 455120, upload/article/feature/2019/10/18/5da977133006b.jpg, 全面详解电源电路，开关电源没你想的那么简单, 开关电源的主要电路是由输入电磁干扰滤波器（EMI）、整流滤波电路、功率变换电路、PWM控制器电路、输出整流滤波电路组成。辅助电路有输入过欠压保护电路、输出过欠压保护电路、输出过流保护电路、输出短路保护电路等。, upload/article/feature/2019/10/18/5da977133006b-thumb.jpg, MOS管|电路|控制器|开关电源, 1571454000
Diodes 公司的闪光灯 LED 驱动器能为双信道和四信道应用的便携设备提供稳定高电流, , 2019-10-17 07:34, , 1, analog-power, 模拟/电源, /analog-power/, 455005, , Diodes 公司的闪光灯 LED 驱动器能为双信道和四信道应用的便携设备提供稳定高电流, Diodes 公司 (Nasdaq：DIOD) 今天发布高速双信道闪光灯 LED 驱动器 AL3644，这款装置是专为支持高阶的相机闪光灯和手电筒功能所设计，适用于最新的智能型手机和其他可携式消费性装置。, , Diodes|LED 驱动器|PWM|LED, 1571268840
慧智微4G可重构射频前端芯片荣获“最佳市场表现奖”, , 2019-10-25 15:38, , 3, rf-microwave, 射频/微波, /rf-microwave/, 455509, upload/article/feature/2019/10/25/5db2a6096b38b.jpg, 慧智微4G可重构射频前端芯片荣获“最佳市场表现奖”, 多年获奖，实力还是有的。, upload/article/feature/2019/10/25/5db2a6096b38b-thumb.jpg, 4G可重构射频前端芯片|慧智微, 1571989119
采用ADI公司的解决方案开发UHF RFID读卡器射频前端, , 2019-10-25 07:40, , 3, rf-microwave, 射频/微波, /rf-microwave/, 455524, upload/article/feature/2019/10/25/5db2ab0d72cb0.png, 采用ADI公司的解决方案开发UHF RFID读卡器射频前端, 超高频射频识别(UHF RFID)系统已广泛应用于资产管理、服装零售等领域。近年来，它们在无人售货超市和汽车电子标识应用方面也获得了广泛的关注。本文介绍基于ADI公司的信号链的UHF RFID读卡器射频前端的两种实现方法。, upload/article/feature/2019/10/25/5db2ab0d72cb0-thumb.png, RFID读卡器|ADI|射频前端, 1571960400
解读射频电路四大基础特性，PCB 设计有哪些因素需要注意？, , 2019-10-16 14:57, , 3, rf-microwave, 射频/微波, /rf-microwave/, 454921, upload/article/feature/2019/10/15/5da55d6b992a6.png, 解读射频电路四大基础特性，PCB 设计有哪些因素需要注意？, 本文从射频界面、小的期望信号、大的干扰信号、相邻频道的干扰四个方面解读射频电路四大基础特性，并给出了在PCB设计过程中需要特别注意的重要因素。, upload/article/feature/2019/10/15/5da55d6b992a6-thumb.png, 射频电路|发射器|PCB 设计|接收器, 1571209077
RF信号链应用中为什么要使用差分电路？它有何优点？, , 2019-10-14 17:02, , 3, rf-microwave, 射频/微波, /rf-microwave/, 454776, upload/article/feature/2019/10/14/5da41734c0f06.jpg, RF信号链应用中为什么要使用差分电路？它有何优点？, 当提到通信系统时，比起单端电路，差分电路总是能提供更加优良的性能——它们具有更高的线性度、抗共模干扰信号性能等。今天我们就说说RF信号链应用中差分电路的4大优点~, upload/article/feature/2019/10/14/5da41734c0f06.jpg, EMI|差分电路|干扰信号|放大器|RF, 1571043756
5G“天线之王”硕贝德Q3业绩爆雷，股价被按跌停板, , 2019-10-17 15:31, , 3, rf-microwave, 射频/微波, /rf-microwave/, 455000, upload/article/feature/2019/10/17/5da818dc0e938.jpg, 5G“天线之王”硕贝德Q3业绩爆雷，股价被按跌停板, 与非网10月17日讯，今年下半年以来，科技股成为A股市场主线，特别是5G、华为等概念股均录得可观涨幅。, upload/article/feature/2019/10/17/5da818dc0e938-thumb.jpg, 硕贝德|5G|华为, 1571297504
RF 信号产生 DC 偏移电压，如何确定其幅度？, , 2019-10-16 14:54, , 3, rf-microwave, 射频/微波, /rf-microwave/, 454919, upload/article/feature/2019/10/16/5da6a1c0e789e.png, RF 信号产生 DC 偏移电压，如何确定其幅度？, 典型的精密运算放大（运放）器可以有1MHz的增益带宽积。从理论上讲，用户可能期望千兆赫水平的RF信号衰减到非常低的水平，因为它们远远超出了放大器的带宽范围。然而，实际情况并非如此。, upload/article/feature/2019/10/16/5da6a1c0e789e-thumb.png, 电路板|放大器|RF, 1571208891
恩智浦推出适合即时工程支持的射频电路在线库, , 2019-10-14 07:42, , 3, rf-microwave, 射频/微波, /rf-microwave/, 454782, upload/article/feature/2019/10/14/5da43881342e3.png, 恩智浦推出适合即时工程支持的射频电路在线库, 恩智浦半导体日前宣布推出射频电路在线库，帮助工程师在线访问400多种射频功率参考电路和文档，可以使工程师加快射频功率放大器的开发。, upload/article/feature/2019/10/14/5da43881342e3.png, 射频电路|5G|恩智浦, 1571010120
5G 深入导致射频前端不断升值，芯片整合将会变为趋势？, 与非网 记者, 2019-10-14 13:12, 预计 3 分钟读完, 3, rf-microwave, 射频/微波, /rf-microwave/, 454721, upload/article/feature/2019/10/14/5da403273499e.jpg, 5G 深入导致射频前端不断升值，芯片整合将会变为趋势？, 随着进入 5G，更多的频段导入，以及涵盖更多新技术，使得射频前端零组件的价值不断上升。, upload/article/feature/2019/10/14/5da403273499e.jpg, 5G|芯片|射频, 1571029926
一种稳定的无线电遥控接收电路设计, , 2019-10-11 16:07, , 3, rf-microwave, 射频/微波, /rf-microwave/, 454604, upload/article/feature/2019/10/11/5da0384c16203.jpg, 一种稳定的无线电遥控接收电路设计, OOK 调制尽管性能较差，然而其电路简单容易实现，工作稳定，因此得到了广泛的应用，在汽车、摩托车报警器，仓库大门，以及家庭保安系统中，几乎无一例外地使用了这样的电路。, upload/article/feature/2019/10/11/5da0384c16203.jpg, 集成电路|振荡器|电阻|遥控|接收器, 1570781265
如何解决连接器中的毫米波反射问题？, , 2019-10-12 15:58, , 3, rf-microwave, 射频/微波, /rf-microwave/, 454675, upload/article/feature/2019/10/12/5da16a8ac0559.png, 如何解决连接器中的毫米波反射问题？, 随着新一代蜂窝通信5G的发展势头日渐增强，部署5G通信基础设施的竞争也开始如火如荼地进行。, upload/article/feature/2019/10/12/5da16a8ac0559.png, 毫米波|5G|连接器, 1570867136
5G时代三五族半导体需求旺盛，稳懋、宏捷科和全新如何迎头赶上？, , 2019-10-09 16:29, , 3, rf-microwave, 射频/微波, /rf-microwave/, 454448, upload/article/feature/2019/10/09/5d9d99fe2cda2.jpg, 5G时代三五族半导体需求旺盛，稳懋、宏捷科和全新如何迎头赶上？, 与非网10月9日讯，5G给三五族半导体组件厂商带来了很多机会。, upload/article/feature/2019/10/09/5d9d99fe2cda2.jpg, 宏捷科|稳懋|全新|化合物半导体, 1570609773
最强干货 | 解析光电式液位传感器中的常见问题, , 2019-10-27 09:40, , 2, sensor, 传感技术, /sensor/, 455508, upload/article/feature/2019/10/25/5db2a581b2bbf.jpg, 最强干货 | 解析光电式液位传感器中的常见问题, 光电式液位传感器是利用光在两种不同介质界面发生反射折射原理而开发的新型接触式点液位测控装置。, upload/article/feature/2019/10/25/5db2a581b2bbf-thumb.jpg, 控制电路|光电式|传感器, 1572140400
国内微纳光电子发展再进一步，中科大实现 50 纳米分辨量子传感, , 2019-10-25 14:18, , 2, sensor, 传感技术, /sensor/, 455494, upload/article/feature/2019/10/25/5db29317d4221.jpg, 国内微纳光电子发展再进一步，中科大实现 50 纳米分辨量子传感, 中国科大郭光灿院士团队实现50纳米空间分辨力高精度多功能量子传感。
, upload/article/feature/2019/10/25/5db29317d4221-thumb.jpg, 微纳光电子|量子探针|量子传感, 1571984300
汇顶科技 2019 三季度业绩：净利暴增 437.22%，屏下光学指纹贡献极大, , 2019-10-25 09:57, , 2, sensor, 传感技术, /sensor/, 455467, upload/article/feature/2019/10/25/5db255d23a6f4.jpg, 汇顶科技 2019 三季度业绩：净利暴增 437.22%，屏下光学指纹贡献极大, 昨日晚间，汇顶科技发布的前三季度业绩公告显示，报告期内，公司净利润同比暴增超4倍。, upload/article/feature/2019/10/25/5db255d23a6f4-thumb.jpg, 汇顶科技|点触控芯片|光学指纹, 1571968673
抛弃磁场传感器，用6轴IMU玩转最小手臂动捕系统, 夏珍, 2019-10-25 08:15, 预计 9 分钟读完, 2, sensor, 传感技术, /sensor/, 455458, upload/article/feature/2019/10/24/5db15f3919540.png, 抛弃磁场传感器，用6轴IMU玩转最小手臂动捕系统, 最小手臂动捕系统的设计思路来源于作者在德国工作的经验，当时他们设计的动捕产品着重于工业场景下的应用，像给员工提示、培训等。但在刚回到国内时，发现无论从体量还是质量的角度，动捕系统都处于初期阶段，于是就萌发了做一款“动捕届的Arduino”的想法，以更低的平台和大众的价格吸引更多的玩家加入，促进国内动捕行业的发展。, upload/article/feature/2019/10/24/5db15f3919540-thumb.png, 动态捕捉系统|与非大视野|Hackaday Prize|惯性传感器|得捷电子, 1571962500
业内首创DSI像素技术落地，思特威科技推出四款全新CMOS图像传感器, , 2019-10-25 07:54, , 2, sensor, 传感技术, /sensor/, 455543, upload/article/feature/2019/10/25/5db2be7b6bbb2.png, 业内首创DSI像素技术落地，思特威科技推出四款全新CMOS图像传感器, 技术领先的CMOS图像传感器供应商思特威科技（SmartSens）近日发布基于其业内首创DSI像素技术的四款CMOS图像传感器芯片——SC2320、SC4335、SC5335和SC8220。, upload/article/feature/2019/10/25/5db2be7b6bbb2-thumb.png, CMOS|芯片|DSI|图像传感器, 1571961240
低漏电多路复用器在高阻抗PLC系统中是否重要？, , 2019-10-25 07:35, , 2, sensor, 传感技术, /sensor/, 455523, , 低漏电多路复用器在高阻抗PLC系统中是否重要？, 一位任职于领先的可编程逻辑控制器（PLC）制造商的年轻工程师满怀热情，正在设计一个可接受来自高阻抗传感器输入的多通道24位模拟输入模块。, , 运算放大器|传感器, 1571960100
